"WD11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types"
"E05000315",67.4518164306445,89.4438393093498,0,99.5604405638788,57.3352151761155,2
"E05000316",53.7109345340295,0,63.714579689657,99.8803392226295,17.545175001057,2
"E05000317",48.6064594910831,9.39916197283166,20.1444923546453,69.4780044020826,8.67210941647748,3
"E05000318",4.35602042596163,16.3346073672158,1.10676772229459,17.6934079276835,4.10398758778856,3
"E05000319",99.9998147544933,40.159089065691,0,99.9999999999978,40.1589038201865,2
"E05000320",65.364658622294,0.710878149549436,13.5268527618955,65.364658622294,14.2377309114449,3
"E05000321",62.1266833975434,38.0982509992271,2.55300193991967,68.6443223402649,34.1336139964253,3
"E05000322",100.000000000009,40.5958412233139,0,100.000000000009,40.5958412233139,2
"E05000323",9.35216020190841,0,2.30098633410631,11.6531465360147,1.77635683940025e-15,2
"E05000324",89.9615158636346,18.705958815317,0,91.4661666913659,17.2013079875858,2
"E05000325",51.1300709849537,11.6964990782129,0,51.1300709849537,11.6964990782129,2
"E05000326",96.3879521782605,0,21.7971883546091,96.3879521782605,21.7971883546091,2
"E05000327",91.9246301218479,0,0,91.9246301218479,0,1
"E05000328",22.5601305380361,0,0,22.5601305380361,0,1
"E05000329",80.4461901488951,0,9.15684817792248,80.4665777667235,9.13646056009411,2
"E05000330",3.57553196648604,0,0,3.57553196648604,0,1
"E05000331",18.0441885504194,1.00352807102237,1.71773119662265,19.265346758695,1.50010105936933,3
"E05000332",10.3067233363443,0,0,10.3067233363443,0,1
"E05000333",25.4106662704967,0,0,25.4106662704967,0,1
"E05000334",92.8266805722035,0,0,92.8266805722035,0,1
"E05000335",51.3090718217887,0,0,51.3090718217887,0,1
"E05000336",93.654648136464,0,48.4959955608769,94.2188950752608,47.9317486220801,2
"E05000337",67.4763744298418,25.6264511384318,0,67.4763744298418,25.6264511384318,2
"E05000338",36.1492093780211,0,0,36.1492093780211,0,1
"E05000339",82.6677051317177,34.991598766247,0,87.2319142089054,30.4273896890593,2
"E05000340",48.0737038110683,0,0,48.0737038110683,0,1
"E05000341",95.2971187249585,0,16.1153907994112,95.2971187249585,16.1153907994112,2
