MSOA11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E02000732,100.0,100.0,100.0,100.0,200.0,3.0
E02000733,100.0,100.0,100.0,100.0,200.0,3.0
E02000734,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000735,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000736,100.0,100.0,100.0,100.0,200.0,3.0
E02000737,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000738,100.0,100.0,100.0,100.0,200.0,3.0
E02000739,100.0,100.0,100.0,100.0,200.0,3.0
E02000740,100.0,100.0,100.0,100.0,200.0,3.0
E02000741,100.0,100.0,100.0,100.0,200.0,3.0
E02000742,100.0,100.0,100.0,100.0,200.0,3.0
E02000743,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000744,100.0,100.0,100.0,100.0,200.0,3.0
E02000745,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000746,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000747,100.0,100.0,100.0,100.0,200.0,3.0
E02000748,100.0,100.0,100.0,100.0,200.0,3.0
E02000749,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000750,100.0,100.0,100.0,100.0,200.0,3.0
E02000751,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000752,100.0,99.75184552144917,89.02691915158006,100.0,188.7787646730292,3.0
E02000753,100.0,100.0,100.0,100.0,200.0,3.0
E02000754,100.0,100.0,100.0,100.0,200.0,3.0
E02000755,100.0,100.0,100.0,100.0,200.0,3.0
E02000756,100.0,100.0,100.0,100.0,200.0,3.0
E02000757,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000758,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000759,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000760,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000762,100.0,100.0,100.0,100.0,200.0,3.0
E02000763,100.0,100.0,100.0,100.0,200.0,3.0
E02000764,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000765,100.0,100.0,100.0,100.0,200.0,3.0
E02000767,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000768,100.0,100.0,100.0,100.0,200.0,3.0
E02000769,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000770,100.0,100.0,100.0,100.0,200.0,3.0
E02000772,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000773,100.0,100.0,100.0,100.0,200.0,3.0
E02000774,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000776,100.0,100.0,100.0,100.0,200.0,3.0
E02000777,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000779,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000780,100.0,100.0,100.0,100.0,200.0,3.0
E02000781,100.0,100.0,100.0,100.0,200.0,3.0
E02000782,100.0,100.0,100.0,100.0,200.0,3.0
